Date,User,Tweet,clean,probability,sentiment
2022-09-07 17:56:30+00:00,InvestInAssets,"@long_equity From this list I like:

$V, $MSFT, $CSU.TO

Other important variables to consider are FCF growth rate, margins, cash conversion, ROIC, and future growth runway.  

A 2% FCF company can be a better ""value"" than a 4% FCF company.",longequity list likev msft csutoother important variables consider fcf growth rate margins cash conversion roic future growth runway fcf company better value fcf company,0.9912927746772766,NEGATIVE
2022-09-07 16:41:38+00:00,Vinesh00518,"TRADING STATS FROM TODAY https://t.co/GmNbJpfaX2

$AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU $NKLA $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP $TGT $PYPL $V $W https://t.co/mTnXFqMnXD",trading stats today amzn aapl ba baba fb tsla msft roku nkla spx spy tdoc cost zm nvda bynd snap tgt pypl v w,0.8837704658508301,POSITIVE
2022-09-07 03:07:07+00:00,mathNAb,This paper presents a numerical study on multigrid algorithms of $V$-cycle type for problems posed in the Hilbert space $H(\mathbf{curl})$ in three dimensions. The multigrid methods are designed for discrete problems originated from [1/3 of https://t.co/jU0UKZoZZG],paper presents numerical study multigrid algorithms vcycle type problems posed hilbert space hmathbfcurl three dimensions multigrid methods designed discrete problems originated,0.9838235378265381,POSITIVE
2022-09-06 18:54:26+00:00,real_Elliot_B,It begins!! First ever #dividend receive from $V hopefully many more to come in the future 🤑📈.                                       #investing #freetrade #dividends https://t.co/uRhL84logd,begins first ever dividend receive v hopefully many come future investing freetrade dividends,0.7679616808891296,NEGATIVE
2022-09-06 17:32:00+00:00,Tiger01255,"TRADING STATS FROM today 
https://t.co/rFUdY4xj2v

$AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU $NKLA $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP $TGT $PYPL $V $W $SPX https://t.co/qFFbA1AmR4",trading stats today amzn aapl ba baba fb tsla msft roku nkla spx spy tdoc cost zm nvda bynd snap tgt pypl v w spx,0.874775767326355,POSITIVE
2022-09-06 15:45:16+00:00,spreecap,"Consumer spending is stable ( $V, $MA), but is bifurcated with high income consumers continuing to spend ( $LULU), while low income consumers are shifting spending away from discretionary products in favor of essentials ( $CONN)",consumer spending stable v bifurcated high income consumers continuing spend lulu low income consumers shifting spending away discretionary products favor essentials conn,0.9301512241363525,NEGATIVE
2022-09-05 21:40:20+00:00,nappedonthebed,"TRADING STATS FROM today 
https://t.co/jYRyDKe703

$AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU $NKLA $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP $TGT $PYPL $V $W $OKTA https://t.co/fztxz07Xte",trading stats today amzn aapl ba baba fb tsla msft roku nkla spx spy tdoc cost zm nvda bynd snap tgt pypl v w okta,0.7766443490982056,POSITIVE
2022-09-05 20:33:43+00:00,treygahigh,"@snorlax_uw $V the chart looks absolutely disgusting ready to swan dive off a cliff. $FB just got rocked with a $400M fine from an EU nation, Ireland, and I’d expect others to follow suit as they need liquidity quickly to help resolve the energy crisis. And as always $SPY and $SPXS",snorlaxuw v chart looks absolutely disgusting ready swan dive cliff fb got rocked fine eu nation ireland id expect others follow suit need liquidity quickly help resolve energy crisis always spy spxs,0.9998444318771362,NEGATIVE
2022-09-05 16:35:21+00:00,philip30964,"TRADING STATS FROM today 
https://t.co/2Gl5v67liI

$AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU $NKLA $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP $TGT $PYPL $V $W https://t.co/v93A1Po962",trading stats today amzn aapl ba baba fb tsla msft roku nkla spx spy tdoc cost zm nvda bynd snap tgt pypl v w,0.8837704658508301,POSITIVE
2022-09-05 15:00:14+00:00,simply_robo,"3/ $V 2023 Revenue Forecast: +10% ▲ vs 2021

Total Revenue for V is forecasted to grow from $24.1B in 2021 to $26.4B by 2023 (+10% ▲). 

📈 Revenue has increased on average by 6% year over year. https://t.co/Emj6FnSomy",v revenue forecast vs total revenue v forecasted grow revenue increased average year year,0.7304771542549133,POSITIVE
